added_by,artist,banner,buy_enabled,description,download_enabled,downloads,host,listens,rating_count,rating_score,release_date,streaming_enabled,title,tracks,views
karlkani,LUKE-O,exclusive,no,"New mixtape from LUKE-O ""Ca$h Cow Capo"" available now!",yes,560,ItsBizkit,3414,121,3,5/6/2018,yes,Ca$h Cow Capo,9,20126
karlkani,Drayco McCoy,sponsored,no,"New mixtape from Drayco McCoy ""Fully Automatic! EP"" available now on DatPiff!",yes,1052,,4425,60,4,5/6/2018,yes,Fully Automatic!,5,13661
hustlehearted,Johnny Cinco,sponsored,no,"Johnny Cinco's new mixtape ""I Swear 2""",yes,11566,,69151,293,4,5/5/2018,yes,I Swear 2,18,164154
Dat_Boy_Stone,550,sponsored,no,"New mixtape from 550 ""Cinco"" hosted DJ Lil Keem available now!",yes,817,DJ Lil Keem,3424,35,3,5/5/2018,yes,Cinco,8,12142
stylesp,Styles P,none,yes,"New project from Styles P ""G-Host"" out now everywhere!",no,,,271027,2104,4,5/4/2018,yes,G-Host,16,498130
kdough,Xay Capisce,sponsored,no,"New mixtape from Xay Capisce ""On God"" Hosted by DJ Scream out now on DatPiff!",yes,42,DJ Scream,188,3,5,5/4/2018,yes,On God,9,2055
hustlehearted,6 Dogs & Danny Wolf,none,yes,"6 Dogs & Danny Wolf's new EP ""6 Wolves""",no,,,996,16,5,5/4/2018,yes,6 Wolves,7,5556
karlkani,Villa,sponsored,no,"New mixtape from Villa ""How To Dream"" available now on DatPiff!",yes,272,,1131,17,3,5/4/2018,yes,How To Dream,4,3932
karlkani,Strap Da Fool,sponsored,no,"New mixtape from Strap Da Fool ""4DaGame"" available now on DatPiff!",yes,1343,,6670,48,3,5/4/2018,yes,4DaGame,17,17581
hustlehearted,Asian Doll,sponsored,no,"Asian Doll ""Doll SZN"" mixtape",yes,3239,,10802,137,4,5/4/2018,yes,Doll Szn,13,40992
lilreese,Lil Reese,none,no,"New project from Lil Reese ""GetBackGang"" available now!",yes,5092,,61173,466,4,5/4/2018,yes,GetBackGang,10,170193
hustlehearted,Blocboy JB,none,yes,"Blocboy JB's new mixtape ""SIMI""",no,,,67467,442,4,5/4/2018,yes,SIMI,17,159158
hustlehearted,Desiigner,none,no,"Desiigner releases his new album ""L.O.D.""",yes,4518,,72076,642,4,5/3/2018,yes,L.o.d.,7,171667
hustlehearted,Key! & Kenny Beats,none,no,"New album from Key! and Kenny Beats ""777""!",no,,,14000,111,4,5/3/2018,yes,777,15,36299
hustlehearted,Joe Blow & 38 Spesh,none,yes,"Joe Blow & 38 Spesh new mixtape ""In The Mob We Trust""",no,,,15922,110,4,5/3/2018,yes,In The Mob We Trust,13,49051
hustlehearted,Preme,none,no,,yes,1679,OVO,24724,202,4,5/3/2018,yes,Light Of Day,15,55488
karlkani,Killa Kyleon,sponsored,yes,"New project from Killa Kyleon ""Candy Paint N Texas Plates"" available now on DatPiff!",no,,,36631,345,5,5/3/2018,yes,Candy Paint N Texas Plates,20,96461
karlkani,Go Yayo,sponsored,no,"New mixtape from Go Yayo ""All Hail Almighty Super Saiyan Boom God"" available now on DatPiff!",yes,6045,,25887,167,4,5/1/2018,yes,All Hail Almighty Super Saiyan Boom God,15,68799
karlkani,Cambatta,sponsored,no,"New mixtape from Cambatta ""Camballah: Volume 1"" available now on DatPiff!",yes,2507,,4387,71,5,5/1/2018,yes,Camballah: Volume 1,12,23623
skimask,Ski Mask The Slump God,sponsored,no,"New project from Ski Mask The Slump God ""The Book of Eli"" available now on DatPiff!",yes,12107,,35606,429,5,4/30/2018,yes,The Book Of Eli,14,108228
karlkani,Don Ace,sponsored,no,"New mixtape from Don Ace ""Voice of Dem Young Niggas"" available now on DatPiff!",yes,592,,2308,20,4,4/30/2018,yes,Voice Of Dem Young Niggas,11,8327
turk,Turk & Various Artists,exclusive,no,"Part 4 of ""Da Mobb"" presented by Hot Boy Turk",yes,1805,,5713,51,3,4/30/2018,yes,Da Mobb Vol 4,17,30763
hustlehearted,TEC & Maine Musik,sponsored,no,,yes,11900,Spider Nation,32840,174,4,4/29/2018,yes,Web Life,11,93801
hustlehearted,Boosie Badazz,sponsored,no,"New mixtape from Boosie Badazz ""Boonk Gang"" available now on DatPiff!",yes,83798,,290644,1513,4,4/27/2018,yes,Boonk Gang,20,671055
hustlehearted,Tate Kobang,sponsored,no,"New project from Tate Kobang ""28"" available now on DatPiff!",yes,1503,,7254,68,4,4/27/2018,yes,28,8,19654
hustlehearted,Guap Tarantino,exclusive,no,"FBG/YFBG's Guap Tarantino new mixtape ""Geico""",yes,3961,"FreeBandz, Hustle Hearted",20564,103,4,4/27/2018,yes,Geico,8,50703
hustlehearted,Da Real Gee Money,sponsored,yes,"#LongLiveGeeMoney ""G-Code 2"" the mixtape",no,,Hustle Hearted,52512,459,5,4/27/2018,yes,G-code 2,13,103572
hustlehearted,YFN Lucci,sponsored,no,,yes,48787,TIG,208728,830,4,4/27/2018,yes,See No Evil,4,452156
hustlehearted,T-Jones,exclusive,no,"New mixtape from T-Jones ""Inside My Life"" hosted by BWA Ron & Hustle Hearted",yes,953,BWA Ron & Hustle Hearted,3882,37,4,4/26/2018,yes,Inside My Life,13,13631
JAQUAE,Jaquae,exclusive,no,"""Chapter 3"" from Jaquae available now exclusively on DatPiff!",yes,5380,,28731,334,3,4/25/2018,yes,Chapter 3,7,113895
karlkani,J .Stone,sponsored,no,"New project from All $ In's J. Stone ""6 Days"" available now!",yes,2876,,6199,47,4,4/24/2018,yes,6 Days,6,24650
karlkani,Rockstar Marqo,sponsored,no,"New mixtape from Rockstar Marqo ""F*ck Rap'n""   available now on DatPiff!",yes,486,,1609,22,4,4/24/2018,yes,F*ck Rap'n,9,5753
scarter,Jay-Z,none,yes,"15 Year anny of Jay Z's ""Carter Collection"" freestyles + songs.",no,,,98007,629,4,4/23/2018,yes,Carter Collection (15th Anniversary),24,256311
karlkani,Konshis Pilot,sponsored,no,"New project from Konshis Pilot ""Astronaut""  available now!",yes,494,,1783,27,4,4/23/2018,yes,Astronaut,10,10448
karlkani,Mack 11,sponsored,no,"New mixtape from Mack 11 ""Mack Sauce"" Hosted by DJ Bandz available now!",yes,554,DJ Bandz,2845,28,4,4/23/2018,yes,Mack Sauce,13,8373
karlkani,Bones & Cat Soup,sponsored,no,"New project from Bones x Cat Soup ""Augmented"" available now on DatPiff!",yes,2020,,2918,41,4,4/23/2018,yes,Augmented,8,15869
karlkani,MMO Lil Mexico,sponsored,no,"New mixtape from MMO Lil Mexico ""Trench Baby"" available now on DatPiff!",yes,9176,,26284,133,3,4/23/2018,yes,Trench Baby,9,95040
hustlehearted,Tadoe,sponsored,no,,yes,6401,,34247,235,4,4/23/2018,yes,The Golden One,13,80956
JuicyJ,YKOM X Juicy J,exclusive,no,"YKOM presents ""901 Drip"" featuring Juicy J available now on DatPiff!",yes,10708,,49346,290,4,4/23/2018,yes,901 Drip,13,121633
UglyGod,Ugly God,sponsored,no,"New 4 track EP from Ugly God ""Just A Lil Something Before The Album..."" available now on DatPiff!",yes,11517,,59737,561,4,4/23/2018,yes,Just A Lil Something Before The Album...,4,134440
karlkani,Baby Soulja,exclusive,no,"New mixtape from Baby Soulja ""Trials and Tribulations"" available now!",yes,10672,,35569,246,5,4/21/2018,yes,Trials And Tribulations,15,81105
karlkani,Action Pack AP,exclusive,no,"New project from Action Pack AP ""Action"" available now on DatPiff!",yes,649,,2294,18,4,4/21/2018,yes,Action,12,12705
karlkani,BCM Key,sponsored,no,"New mixtape from BCM Key ""Game Over"" Hosted by DJ Yung Rel available now!",yes,580,DJ Yung Rel,2679,26,3,4/21/2018,yes,Game Over,12,9769
Dat_Boy_Stone,Trapperman Dale,sponsored,no,"New project from Trapperman Dale ""91"" available now!",yes,3732,,10489,61,5,4/21/2018,yes,91,14,31732
OfficialSpitta,Curren$y,sponsored,no,"New 4/20 EP from Curren$y ""Air Freshna"" available now on DatPiff!",yes,30114,JET LIFE,111522,913,4,4/20/2018,yes,Air Freshna,3,301259
streetkingpin,420 Stunna,sponsored,no,"420 Night Runnaz releases highly anticipated mixtape from artist 420 Stunna ""It's All On Me"" hosted by OG Bigga Rankin.  420 Stunna is no stranger to dope rhymes and dope lyrics.  ""Everything is all on me, I determine my fate"", States Artist 420 Stunna.  This 12 track mixtape relates to us all.  There is a track on here for everyone.  The first released self titled single ""Its All On Me"" is already doing numbers.  Video release for the single will  follow the mixtape.  Get to know artist 420 Stunna:  Twitter @420Stunna - Instagram @420_stunna_",yes,199,Bigga Rankin,687,5,5,4/20/2018,yes,It's All On Me,12,4703
flybeats09,Yunq Chuck,exclusive,no,"Yunq Chuck presents ""Child's Play""",yes,267,,1169,11,4,4/20/2018,yes,Child's Play,12,5244
hustlehearted,Boss Lucci,sponsored,no,,yes,324,,1197,7,1,4/20/2018,yes,Henny & Gold,12,5918
karlkani,T.O Green,sponsored,no,"New mixtape from T.O Green ""Trap America"" available now!",yes,467,,1639,12,4,4/20/2018,yes,Trap America,15,7269
flybeats09,Harp,exclusive,no,"Harp presents ""Skywalka Chronicles""",yes,717,,2491,34,5,4/20/2018,yes,Skywalka Chronicles,13,10789
karlkani,Young Cannon,exclusive,no,"New mixtape from Young cannon and Dj Holiday  ""Mud Sweat & Tears ï¿½  available now!",yes,741,DJ Holiday,3477,36,4,4/20/2018,yes,"Mud, Sweat & Tears",11,15526
karlkani,WillThaRapper,sponsored,no,"New mixtape from WillThaRapper ""Beat Bully 5"" available now on DatPiff!",yes,1268,,5463,52,4,4/20/2018,yes,Beat Bully 5,10,16800
hustlehearted,LoLife Blacc,none,no,"New mixtape from LoLife Blacc """"LoLife 2"" Hosted by DJ Fly Guy, DJ Lil Keem, Dirty Glove Bastard available now!",no,,"DJ Fly Guy, DJ Lil Keem, Dirty Glove Bastard",6052,57,4,4/20/2018,yes,Lolife 2,10,16580
cstruggs,C.Struggs,exclusive,no,"C.Struggs presents part 2 of ""Why Not Hustle"" hosted by DJ Michael ""5000"" Watts",yes,1945,"DJ Michael ""5000"" Watts",7211,64,5,4/20/2018,yes,Why Not Hustle 2,20,32915
TreeJay,TreeJay & Various Artists,exclusive,no,"With every 4/20, comes a TreeJay project.  This years projecy is titled ""Smokeland"" and features Larry Fisherman & more!",yes,1395,,7249,62,4,4/20/2018,yes,Smokeland,15,33494
youngbreed,Young Breed,exclusive,no,"Young Breed presents part 7 of ""Freestyle Chronicles""",yes,1597,,7686,66,4,4/20/2018,yes,Freestyle Chronicles 7,14,21421
karlkani,Klass Murda,exclusive,no,"New mixtape from Klass Murda ""Bitches, Gunz & Marijuana"" available now!",yes,2908,,14979,100,4,4/20/2018,yes,"Bitches, Gunz & Marijuana",13,36749
JaeMillz,Jae Millz,exclusive,no,"Jae Millz presents part 4 of ""Potent Music""",yes,8836,,38657,260,4,4/20/2018,yes,Potent Music 4,7,106353
hustlehearted,Migo Domingo,sponsored,no,"YRN the label presents Migo Domingo ""Menace II Society"" mixtape",yes,10792,"DJ Durel, Hustle Hearted, YRN",42442,245,4,4/20/2018,yes,Menace II Society,17,104215
trapaholics,XVL Hendrix,sponsored,no,,yes,144,Trap-A-Holics,450,6,5,4/20/2018,yes,Blessings & A Curse Pt. 2,12,3150
hustlehearted,Ralo,sponsored,no,"New mixtape from RALO ""12 Can't Stop Shit"" available now on DatPiff!",yes,19370,,80001,328,4,4/19/2018,yes,12 Can't Stop Shit,12,183196
karlkani,LoveHard,sponsored,no,"New mixtape from LoveHard ""Still Here"" available now!",yes,865,,3911,30,5,4/19/2018,yes,Still Here,12,9093
streetkingpin,Big Cuz,exclusive,no,"Alliance Music Group and Zombie Gang in Association with EP Entertainment present Big Cuz ""Son Of A Jay"" hosted by Bigga Rankin and Executively produced by Shawty Fresh. Support the campaign and follow the movement.",yes,1088,Bigga Rankin,5461,44,4,4/19/2018,yes,Son Of A Jay,8,18110
hustlehearted,Jr. Boss,sponsored,no,"Jr. Boss ""Just Got Out The Feds"" mixtape hosted by Trapaholics, Karltin Bankz,and Hustle Hearted",yes,2304,"Trapaholics, Karltin Bankz, Hustle Hearted",12117,94,4,4/19/2018,yes,Just Got Out The Feds,4,30291
ASAPTy,A$AP TyY,sponsored,no,"New project from A$AP TyY of ASAP Mob  ""Troubles Of The World"" available now!",yes,5314,ASAP Mob,19152,176,4,4/19/2018,yes,Troubles Of The World,18,59402
karlkani,Glokk Nine,sponsored,no,"New mixtape from Glokk Nine ""Bloodshells Revenge"" available now on DatPiff!",yes,15080,,70069,361,4,4/18/2018,yes,Bloodshells Revenge,16,158929
kdough,Jax$,sponsored,no,"New mixtape from Jax$ ""Mr. Jax$ Frost"" available now on DatPiff!",yes,29,DJ Scream & DJ Swamp Izzo,149,4,5,4/18/2018,yes,Mr. Jax$ Frost,14,1950
diggityd,WhoisFrench,exclusive,no,"whoisFrench covers the HOTTEST songs in Hip Hop with this latest installment to his ""jackin for beats"" mixtape series ""Live From Da Basement""",no,,,658,6,5,4/18/2018,yes,Live From Da Basement 4,19,4699
karlkani,Red Dot,sponsored,no,"New mixtape from Red Dot ""Make Tha Hood Great Again"" Presented by Starlito x Grind Hard available now!",yes,1108,Grind Hard,2722,24,5,4/18/2018,yes,Make Tha Hood Great Again,15,8600
karlkani,Iman Shumpert,sponsored,no,"New EP from NBA player Iman Shumpert ""Substance Abuse"" available now on DatPiff!",yes,3304,,14467,164,4,4/17/2018,yes,Substance Abuse (EP),6,44612
hustlehearted,Quando Rondo,sponsored,no,"New mixtape from Quando Rondo ""Life B4 Fame"" available now on DatPiff!",yes,35141,,144803,594,4,4/17/2018,yes,Life B4 Fame,14,297704
karlkani,Scotty ATL,sponsored,no,"New mixtape from Scotty ATL ""OTW"" available now on DatPiff!",yes,5106,,18875,133,5,4/16/2018,yes,OTW,7,56529
karlkani,Eddie Valero,sponsored,no,"New mixtape from Eddie Valero ""8 Days 8 Ways"" available now!",yes,219,,849,6,3,4/16/2018,yes,8 Days 8 Ways,12,3625
karlkani,Florida Boyz,sponsored,no,New self titled mixtape from the Florida Boyz available now on DatPiff!,yes,2034,DJ Swift,9130,94,3,4/16/2018,yes,Florida Boyz,17,29306
karlkani,Cream Dinero,sponsored,no,"New project from Cream Dinero ""Big Drip"" available now on DatPiff!",yes,351,,2006,15,4,4/15/2018,yes,Big Drip,18,13321
Tonetrump,Tone Trump & Lex Luger,sponsored,no,"New project from Tone Trump & Lex Luger ""Blood, Sweat, & Prayers"" available now!",yes,958,,4223,38,3,4/15/2018,yes,"Blood, Sweat, & Prayers",10,19777
RichLogan,Rich Logan,exclusive,no,"Rich Logan - CANVASMUSIX2RE-LOADED
2018ROADTORICHES",yes,44,,207,4,4,4/14/2018,yes,CANVASMUSIX2RE-LOADED,10,2600
youngthug,Young Thug,none,yes,"New 3 song EP from Young Thug ""Hear No Evil"" available now!",no,,,178172,1241,4,4/13/2018,yes,Hear No Evil (EP),3,431772
devonjay,Da Boi Boi,sponsored,no,,yes,284,,2554,21,5,4/13/2018,yes,On My Grind Vol 2,16,8977
karlkani,Milli Montana,sponsored,no,"New mixtape from Milli Montana ""Nightmare On Millz St. 2 (Michael Milli Myers)"" available now on DatPiff!",yes,809,DJ Young Shawn,2978,25,4,4/13/2018,yes,Nightmare On Millz St. 2 (Michael Milli Myers),9,10777
flybeats09,Don Zio P,exclusive,no,"Don Zio P presents ""Young Tatted Homie""",yes,825,,4473,63,2,4/13/2018,yes,Young Tatted Homie,13,20293
karlkani,Street Money Boochie & Snypa,sponsored,no,"New project from Street Money Boochie & Snypa ""A Nightmare On 88 Street"" available now on DatPiff!",yes,1420,,5067,41,4,4/13/2018,yes,A Nightmare On 88 Street,7,17587
skizzy,Skizzy Mars,sponsored,no,"New project from Skizzy Mars ""are you OK?"" available now!",yes,1727,,5488,85,4,4/13/2018,yes,Are You Ok?,5,22477
hustlehearted,HoodRich Espy,exclusive,no,"Rich Espy releases his new album ""Westland""",no,,Hustle Hearted,6533,63,4,4/13/2018,yes,Westland,9,53022
Chrisette,Chrisette Michele,exclusive,no,"Chrisette Michele presents ""Out Of Control"" available now on DatPiff!",yes,4937,,11861,90,4,4/13/2018,yes,Out Of Control,12,43235
alchemist,The Alchemist,none,yes,"New project from The Alchemist ""Lunch Meat"" available now on DatPiff!",no,,,48500,394,5,4/13/2018,yes,Lunch Meat (EP),8,117811
purpp,Smokepurpp X Murda Beatz,none,yes,"New project from Smokepurpp x Murda Beatz ""Bless Yo Trap"" available now!",no,,,70901,598,4,4/13/2018,yes,Bless Yo Trap,10,168356
Dat_Boy_Stone,Jim Jones,none,yes,"New project from Jim Jones ""Wasted Talent"" available now!",no,,,305228,1574,4,4/12/2018,yes,Wasted Talent,18,498241
karlkani,Yung Pinch,sponsored,no,"Re-Release of Yung Pinch's 2016 breakout mixtape ""714ever"" available now!",yes,2092,,5189,45,5,4/12/2018,yes,714ever (2016),16,22485
hustlehearted,Peewee Longway,none,no,"Peewee Longway & Spaghetti J ""Spaghetti Factory""",no,,MPA,84916,549,4,4/12/2018,yes,Spaghetti Factory,10,173319
karlkani,King Combs,exclusive,no,"New project from King Combs ""90's Baby"" available now on DatPiff!",yes,13831,,61569,499,4,4/11/2018,yes,90's Baby,12,168610
JuicyJ,Henry AZ,exclusive,no,"Juicy J presents the new mixtape from Henry AZ ""Just Another PhAZe"" available now on DatPiff!",yes,839,,3014,73,3,4/11/2018,yes,Just Another PhAZe,14,18235
karlkani,Drakeo The Ruler,sponsored,no,"Drakeo The Ruler might be currently locked up, but he's not letting that stop him and The Stinc Team from grinding hard with their music. The Los Angeles rapper and his team drop their new Free The Stinc Team EP from behind bars, which features multiple members delivering new bars.
The first track on the project, ""Murder Was The Case,"" appears to be recorded by Drakeo over a phone, which may have spit during his currnet time behind bars. While the entire project was posted to the rising star's Soundcloud page, it sounds as though only the first and last record, ""Cyber Bullies"" feature the ""Flu Flamming"" entertainer. The rest of the EP is handled by other members of the Stinc Team including SaysoTheMac, Ketchy The Great, Ralfy The Plug and Bambino.
The new project also contains features from the Young Bull, ALLBLACK and Bino Rideaux, as well as productions from YFK98, Al B Smoov, Navin, Low The Great and more.

It's going to be a long legal road for Drakeo after the rapper was arrested and charged him with first-degree murder, attempted murder and several counts of conspiracy to commit murder back in March. While he has been proclaiming his innocence since, he is still fighting for his life and freedom while behind bars.",yes,2096,,5679,50,3,4/11/2018,yes,Free The Stinc Team,5,29644
lilduke,Lil Duke,sponsored,no,"New project from Lil Duke ""Reality Checc"" available now on DatPiff!",yes,9407,YSL,48677,241,4,4/11/2018,yes,Reality Checc,17,116431
karlkani,BOOFBOIICY & WARHOL.SS,sponsored,no,"New project from BOOFBOIICY & WARHOL.SS ""Broken Records"" available  now!",yes,315,,652,14,4,4/10/2018,yes,Broken Records,6,4667
karlkani,Slimesito,sponsored,no,"New EP from Slimsesito ""Scarface Sito"" available now!",yes,1605,,5924,80,4,4/10/2018,yes,Scarface Sito (EP),8,19733
streetkingpin,That Boy Poppa,exclusive,no,"Team Bigga Rankin Music Group presents ""That Boy Poppa"" - Evergreen WildChild hosted by Bigga Rankin. Make sure to follow the movement and support the campaign.",yes,1367,Bigga Rankin,6297,64,4,4/10/2018,yes,Evergreen Wildchild,7,21263
karlkani,Grownboitrap,sponsored,no,"New EP from Grownboitrap ""Pressure"" available now!",yes,64,,95,1,5,4/10/2018,yes,Pressure (EP),7,1094
karlkani,Project Youngin,sponsored,no,"New project from Project Youngin ""Trust The Process"" available now!",yes,3106,,10499,68,4,4/9/2018,yes,Trust The Process,10,30964
yowda,Yowda,sponsored,no,"New project from Yowda ""Gang Unit"" available now on DatPiff!",yes,3265,MMG,11069,88,4,4/9/2018,yes,Gang Unit,14,27310
streetkingpin,YFN Kay,exclusive,no,"YFN and Team Watch me Work present YFN KAY ""Quarter Brick"" make sure to support the campaign and follow the movement.",yes,3316,Dj Winn,12338,70,4,4/9/2018,yes,Quarter Brick,9,32412
smokedza,Smoke DZA,exclusive,no,"DZA continues his annual tradition by releasing his ""Ringside"" mixtape Volume 6 on Wrestlemania day.  Download or Stream now exclusively on DatPiff!",yes,8497,,36259,343,4,4/8/2018,yes,Ringside 6,7,133808
karlkani,NBA 3Three,sponsored,no,"New project from NBA 3Three ""Chapter 20"" available now!",yes,2667,,8551,75,3,4/8/2018,yes,Chapter 20,9,27274
webbie,Webbie & Joeazzy,none,yes,"New project from Webbie & Joeazzy ""T4L (Trill 4 Life)"" available now!",no,,,26998,254,4,4/7/2018,yes,T4l (Trill 4 Life),7,66661
karlkani,Criminal Manne,sponsored,no,"New mixtape from Criminal Manne ""Underground King"" available now!",yes,1288,,2868,25,4,4/7/2018,yes,Underground King,18,11586
karlkani,Drugrixh Huncho,sponsored,no,"New mixtape from Drugrixh Huncho ""Industry Questions 2"" Hosted by Hoodrich Keem available now!",yes,876,Hoodrich Keem,3915,46,3,4/7/2018,yes,Industry Questions 2,9,13084
Dat_Boy_Stone,Famous Dex,none,yes,"New project from Famous Dex ""Dex Meets Dexter"" available now!",no,,,58542,529,4,4/6/2018,yes,Dex Meets Dexter,14,127377
karlkani,1Hot,sponsored,no,"New project from 1Hot ""Applying Pressure"" available now on DatPiff!",yes,567,,1970,18,4,4/6/2018,yes,Applying Pressure,17,6837
banditgangmarco,Bandit Gang Marco,none,yes,Bandit Gang Marco presents his self-titled new project available now!,no,,,14696,175,4,4/5/2018,yes,Bandit Gang Marco,8,53508
karlkani,Willy J Peso,sponsored,no,"New mixtape from Willy J Peso ""Hybrid"" available now on DatPiff!",yes,385,,1272,16,4,4/5/2018,yes,Hybrid,10,5474
hustlehearted,Yung Bleu,exclusive,no,"Badazz music presents Yung Bleu ""Bleu Vandross"" mixtape hosted by Hustle Hearted",yes,37873,Hustle Hearted,130198,652,4,4/4/2018,yes,Bleu Vandross,6,312426
karlkani,Oliver Francis,sponsored,no,"New project from Oliver Francis ""Infinity Boy"" available now on DatPiff!",yes,1150,,2585,53,5,4/4/2018,yes,Infinity Boy,5,13841
karlkani,Bones & Greaf,sponsored,no,"New project from BONES & GREAF ""breathingexercise"" available now!",yes,1937,,3698,57,4,4/4/2018,yes,Breathingexercise,9,17024
hustlehearted,Jacquees,none,no,,yes,42614,Cash Money Records,290141,1288,5,4/3/2018,yes,This Time I'm Serious,6,584114
ninobrown,Nino Brown,exclusive,no,"Nino Brown presents ""W.T.B. (We The Business)"" available now!",yes,3682,,15180,213,3,4/3/2018,yes,W.T.B. (We The Business),11,51373
hustlehearted,TEC & Maine Musik,none,no,"Maine Musik new mixtape Meezy Badazz ""No Pen No Pad""",no,,Spider Nation,16485,179,4,4/3/2018,yes,No Pen No Pad,5,53357
karlkani,Maine Musik,none,no,"New project from Maine Musik ""5.56"" available now!",no,,,26563,179,4,4/3/2018,yes,5.56,15,46350
ojdajuiceman,OJ Da Juiceman & Decatur Redd,sponsored,no,"New project from OJ Da Juiceman & Decatur Redd ""Ghost & Tommy"" available now!",yes,7497,DGB,29909,169,4,4/2/2018,yes,Ghost & Tommy,10,74411
karlkani,Real Recognize Rio,sponsored,no,"New mixtape from Real Recognize Rio ""Reconstructed"" available now!",yes,503,,1599,25,4,4/2/2018,yes,Reconstructed,16,8475
AdrianSwish,"MANN, HitTown & Yelo Hill",exclusive,no,"WEST LA Collective feat MANN x Hit-Town x Yelo Hill release their new project ""South Of Pico"" hosted by Adrian Swish.",yes,642,Adrian  Swish,2043,19,5,4/2/2018,yes,South Of Pico,13,11633
masterp,Various Artists,sponsored,no,"New project from BWA Ron ""No Limit"" available now!",yes,318,BWA Ron,728,3,3,4/1/2018,yes,No Limit,11,7263
Dat_Boy_Stone,Luniz,none,yes,"New project from Luniz ""No Pressure"" available now!",no,,,8646,82,4,3/31/2018,yes,No Pressure,13,31022
Dat_Boy_Stone,Ben J,sponsored,no,"New mixtape from Ben J of New Boyz ""No More Mr. Nice Guy"" hosted by DJ Charisma available now!",yes,100,DJ Carisma,180,2,5,3/31/2018,yes,No More Mr. Nice Guy,11,2853
flybeats09,Rose Gold,exclusive,no,"Rose Gold presents ""Tha Smoke Session""",yes,830,,2471,30,4,3/31/2018,yes,Tha Smoke Session,15,10264
flybeats09,Queans,exclusive,no,"Queans presents ""Hippieville"" available now on DatPiff!",yes,1156,,3788,75,5,3/31/2018,yes,Hippieville,9,20766
stylesp,Styles P,sponsored,no,"New EP from the OG Styles P ""Nickel Bag"" available now!",yes,59513,,183983,1535,4,3/30/2018,yes,Nickel Bag EP,5,432321
karlkani,Bali Baby,none,yes,"New EP from Bali Baby ""Bali Blanco"" Produced entirely by 12 Hunna available now!",no,,12 Hunna,3692,58,3,3/30/2018,yes,Bali Blanco EP,5,15960
karlkani,TaySav,none,yes,"New project from TaySav ""Once Upon a Time"" available now on DatPiff!",no,,,11111,155,4,3/30/2018,yes,Once Upon A Time,19,26789
londonjae,London Jae,sponsored,no,"New project from London Jae ""Gunz & Roses"" available now!",yes,5557,No Genre,20107,146,4,3/30/2018,yes,Gunz & Roses,22,48232
karlkani,Meyhem Lauren,sponsored,no,"New project from Meyhem Lauren ""Glass"" Produced by Harry Fraud available now on DatPiff!",yes,9739,Harry Fraud,32549,287,4,3/30/2018,yes,Glass,9,105143
Saint,SAINt JHN,sponsored,no,"New project from SAINt JHN ""Collection One"" available now on DatPiff!

https://t.co/zQOgyzTJpR",yes,14279,,48811,372,5,3/30/2018,yes,Collection One,13,134440
RichLogan,Rich Logan,exclusive,no,"CANVASMUSIX1
ROADTORICHES2018
WELCOMETOTHEJOURNEY",yes,84,,177,1,5,3/30/2018,yes,CANVASMUSIX,6,4058
lildurk,Lil Durk,none,no,"New mixtape from Lil Durk  ""Just Cause Yall Waited"" available now on DatPiff!",yes,73013,OTF,499419,2021,4,3/29/2018,yes,Just Cause Yall Waited,12,883195
OfficialSpitta,Curren$y,none,no,"New project from Curren$y ""Parking Lot Music"" available now on DatPiff!",yes,28264,JET LIFE,143286,865,5,3/29/2018,yes,Parking Lot Music,9,333645
karlkani,SG Tip,sponsored,no,"New mixtape from Slaughtergangs SG Tip ""Block Boy Tip"" available now!",yes,4581,,21469,122,4,3/28/2018,yes,Block Boy Tip,11,48839
karlkani,Skully,sponsored,no,"New project from Skully ""It's Up There EP"" available now!",yes,884,,2793,39,5,3/28/2018,yes,It's Up There EP,6,8246
karlkani,Daylyt,sponsored,no,"New project Daylyt ""KINGQUEEN"" available now on DatPiff!",yes,1224,,4785,60,3,3/28/2018,yes,KINGQUEEN,7,18635
hustlehearted,Kenny Muney,none,no,,no,,,6060,68,4,3/28/2018,yes,Mud 2 Muney 2,12,18963
Conway,Conway,sponsored,no,"New project from Conway ""The Blakk Tape"" available now on DatPiff!",yes,21045,,65675,566,4,3/27/2018,yes,The Blakk Tape,10,170456
lilflip,Lil Flip,sponsored,no,"New project from Lil Flip ""King Life"" available now!",yes,8690,,30251,250,4,3/26/2018,yes,King Life,20,79486
bigtrill,Rigz,exclusive,no,"Rigz presents ""I Got Samples 2"" available now on DatPiff!",yes,2440,DJ Green Lantern,6774,41,5,3/26/2018,yes,I Got Samples 2,13,30427
karlkani,Smackie,sponsored,no,"New mixtape from Smackie ""4'9 On Blast"" available now!",yes,92,,1010,2,5,3/26/2018,yes,4'9 On Blast,16,4148
turk,Turk,exclusive,no,,yes,1092,,2820,29,4,3/26/2018,yes,Da Mobb Vol 3,16,17154
karlkani,ASAAD,sponsored,no,"New project from ASAAD ""White 3"" available now!",yes,870,,3638,27,4,3/26/2018,yes,White 3,22,11861
Kmdclothing,Jay Mizz,sponsored,no,While in Austin SXSW 2018,yes,72,,594,10,5,3/25/2018,yes,While In Austin,5,2654
karlkani,Bandgand Lonnie,sponsored,no,"New project from BandGang Lonnie ""The Get Back"" available now!",yes,2064,,7168,37,4,3/24/2018,yes,The Get Back,10,20378
